ticker,Date,TVol,TXN,TV,OP,HP,LP,CP,Dir,CHG,LBBP,LBBV,LBSP,LBSV,PER
076786,20210129,8000.0,3.0,"20,320",2.57,2.59,2.42,2.42,-,0.13,2.05,50.0,2.06,50.0,78.10
076787,20210129,3000.0,1.0,"3,540",1.18,1.18,1.18,1.18,+,0.05,1.14,25.0,1.16,25.0,124.50
076788,20210129,0.0,0.0,0,--,--,--,--, ,0.0,1.1,25.0,1.11,25.0,33.65
076789,20210129,0.0,0.0,0,--,--,--,--, ,0.0,0.41,25.0,0.42,10.0,20.90
076790,20210129,30000.0,1.0,"19,500",0.65,0.65,0.65,0.65,-,0.06,0.62,25.0,0.63,10.0,22.95
076791,20210129,0.0,0.0,0,--,--,--,--, ,0.0,0.55,25.0,0.56,10.0,182.00
076792,20210129,0.0,0.0,0,--,--,--,--, ,0.0,3.51,25.0,3.61,10.0,591.00
076793,20210129,0.0,0.0,0,--,--,--,--, ,0.0,3.34,10.0,3.43,10.0,591.00
076794,20210129,250000.0,9.0,"1,139,380",4.95,4.99,4.19,4.19,-,0.31,4.31,25.0,4.34,10.0,591.00
076795,20210129,101000.0,3.0,"462,050",5.05,5.05,4.5,4.5,-,0.03,4.21,25.0,4.23,10.0,591.00
076796,20210129,100000.0,2.0,"355,500",3.59,3.59,3.52,3.52,+,0.02,3.31,25.0,3.32,10.0,591.00
076797,20210129,2577000.0,17.0,"11,916,170",4.85,4.89,4.0,4.0,-,0.3,4.05,25.0,4.07,10.0,591.00
076798,20210129,0.0,0.0,0,--,--,--,--, ,0.0,3.06,25.0,3.09,10.0,875.00
076799,20210129,0.0,0.0,0,--,--,--,--, ,0.0,3.87,25.0,3.88,10.0,875.00
076800,20210129,0.0,0.0,0,--,--,--,--, ,0.0,3.26,25.0,3.27,10.0,875.00
076801,20210129,11000.0,2.0,"43,830",3.93,3.99,3.93,3.99,X,0.0,3.81,25.0,3.84,10.0,875.00
076802,20210129,0.0,0.0,0,--,--,--,--, ,0.0,--,0.0,--,0.0,31.20
076803,20210129,15000.0,2.0,"22,540",1.51,1.51,1.5,1.5,-,0.1,1.25,25.0,1.27,10.0,42.80
076804,20210129,0.0,0.0,0,--,--,--,--, ,0.0,0.64,25.0,0.65,10.0,39.90
076805,20210129,0.0,0.0,0,--,--,--,--, ,0.0,0.29,25.0,0.3,10.0,"2,940.00"
076806,20210129,0.0,0.0,0,--,--,--,--, ,0.0,0.66,25.0,0.67,10.0,78.10
076807,20210129,32000.0,1.0,"27,520",0.86,0.86,0.86,0.86,+,0.01,0.7,25.0,0.71,10.0,156.00
076808,20210129,0.0,0.0,0,--,--,--,--, ,0.0,2.96,25.0,3.01,10.0,226.00
076809,20210129,66000.0,2.0,"20,460",0.31,0.31,0.31,0.31,X,0.0,0.28,25.0,0.29,10.0,28.00
076810,20210129,0.0,0.0,0,--,--,--,--, ,0.0,0.31,25.0,0.32,10.0,100.50
076811,20210129,0.0,0.0,0,--,--,--,--, ,0.0,7.6,10.0,8.1,10.0,591.00
076812,20210129,905000.0,36.0,"2,762,160",3.06,3.18,2.88,2.88,+,0.12,2.94,10.0,2.95,10.0,875.00
076813,20210129,0.0,0.0,0,--,--,--,--, ,0.0,0.43,499.0,0.44,30.0,"2,940.00"
076814,20210129,700000.0,8.0,"559,070",0.88,0.88,0.78,0.78,-,0.06,0.78,499.0,0.79,30.0,135.00
076815,20210129,0.0,0.0,0,--,--,--,--, ,0.0,0.39,10.0,0.4,10.0,100.50
076816,20210129,0.0,0.0,0,--,--,--,--, ,0.0,0.89,10.0,0.95,10.0,105.00
076817,20210129,225000.0,8.0,"113,700",0.51,0.51,0.48,0.48,-,0.08,0.47,10.0,0.48,10.0,198.00
076818,20210129,15000.0,2.0,"7,500",0.56,0.56,0.47,0.47,-,0.1,0.46,10.0,0.47,10.0,78.10
076819,20210129,34000.0,5.0,"56,380",1.78,1.78,1.65,1.65,+,0.03,1.44,100.0,1.47,10.0,92.00
076820,20210129,1315000.0,77.0,"1,633,560",1.27,1.33,1.15,1.16,-,0.06,1.15,10.0,1.16,3.0,55.70
076821,20210129,5000.0,1.0,"1,550",0.31,0.31,0.31,0.31,-,0.01,0.3,10.0,0.34,10.0,134.00
076822,20210129,117000.0,5.0,"89,650",0.77,0.77,0.74,0.74,-,0.06,0.71,10.0,0.75,10.0,44.90
076823,20210129,88000.0,5.0,"18,730",0.22,0.22,0.2,0.2,-,0.03,0.2,95.0,0.21,100.0,84.20
